CountryName,CountryCode,2010,2011,2012,2013,2014,2015,2016,2017
Upper middle income,UMC,31.06881206,31.50513088,31.71094574,31.58481158,31.38632863,31.19688429,30.97681357,30.72563351
Uruguay,URY,60.833,60.743,60.653,60.2678,59.8826,59.4974,59.1122,58.727
United States,USA,32.5946,30.2658,27.937,26.3216,24.7062,23.0908,21.4754,19.86
Uzbekistan,UZB,21.5168,22.6534,23.79,23.79,23.79,23.79,23.79,23.79
St. Vincent and the Grenadines,VCT,56.276,55.392,54.508,53.4104,52.3128,51.2152,50.1176,49.02
"Venezuela, RB",VEN,88.6516,88.2358,87.82,87.3234,86.8268,86.3302,85.8336,85.337
Virgin Islands (U.S.),VIR,47.2822,46.5146,45.747,42.375,39.003,35.631,32.259,28.887
Vietnam,VNM,33.955,35.008,36.061,35.0346,34.0082,32.9818,31.9554,30.929
Vanuatu,VUT,53.5948,53.0694,52.544,51.9226,51.3012,50.6798,50.0584,49.437
World,WLD,47.80662055,47.32477523,46.70487967,45.91674605,45.08838378,44.25737764,43.36176436,42.455699
Samoa,WSM,29.6202,28.9356,28.251,27.378,26.505,25.632,24.759,23.886
"Yemen, Rep.",YEM,71.2432,69.4576,67.672,66.208,64.744,63.28,61.816,60.352
South Africa,ZAF,70.0888,71.0324,71.976,71.1624,70.3488,69.5352,68.7216,67.908
Zambia,ZMB,141.6012,139.1486,136.696,133.3792,130.0624,126.7456,123.4288,120.112
Zimbabwe,ZWE,109.7422,109.2926,108.843,104.3014,99.7598,95.2182,90.6766,86.135
